026-02-09 17:15:42,540][INFO]: === Game Progress Tracker v1.0.43 starting ===
[2026-02-09 17:15:42,540][INFO]: Plugin dir: /home/deck/homebrew/plugins/game-progress-tracker
[2026-02-09 17:15:42,542][INFO]: Backend src: /home/deck/homebrew/plugins/game-progress-tracker/backend/src exists=True
[2026-02-09 17:15:42,542][INFO]: Added to sys.path: /home/deck/homebrew/plugins/game-progress-tracker/backend/src
[2026-02-09 17:15:42,542][INFO]: backend/src/ contains 4 items:
[2026-02-09 17:15:42,543][INFO]:   - database.py
[2026-02-09 17:15:42,543][INFO]:   - steam_data.py
[2026-02-09 17:15:42,543][INFO]:   - hltb_service.py
[2026-02-09 17:15:42,543][INFO]:   - __init__.py
[2026-02-09 17:15:42,543][INFO]: sys.path: ['/home/deck/homebrew/plugins/game-progress-tracker/backend/src', '/tmp/_MEIOdIqwy/base_library.zip', '/tmp/_MEIOdIqwy/lib-dynload', '/tmp/_MEIOdIqwy', '/tmp/_MEIOdIqwy/setuptools/_vendor']...
[2026-02-09 17:15:42,568][INFO]: Backend modules imported successfully
[2026-02-09 17:15:42,568][INFO]: Game Progress Tracker plugin starting...
[2026-02-09 17:15:42,570][INFO]: Connected to database: /home/deck/homebrew/data/game-progress-tracker/game_tracker.db
[2026-02-09 17:15:42,572][INFO]: Database schema initialized
[2026-02-09 17:15:42,572][INFO]: Found Steam path: /home/deck/.steam/steam
[2026-02-09 17:15:42,572][INFO]: Plugin initialized successfully
[2026-02-09 17:15:42,572][INFO]: === AUTO-RUNNING sync_library for testing ===
[2026-02-09 17:15:42,572][INFO]: === sync_library called ===
[2026-02-09 17:15:42,572][INFO]: Fetching games from Steam...
[2026-02-09 17:15:42,574][INFO]: Using Steam user ID: 99048608
[2026-02-09 17:15:42,579][ERROR]: Failed to parse /home/deck/.steam/steam/steamapps/appmanifest_990080.acf: 'str' object has no attribute 'get'
[2026-02-09 17:15:42,582][ERROR]: Failed to parse /home/deck/.steam/steam/steamapps/appmanifest_35700.acf: 'str' object has no attribute 'get'
[2026-02-09 17:15:42,588][ERROR]: Failed to parse /home/deck/.local/share/Steam/steamapps/appmanifest_990080.acf: 'str' object has no attribute 'get'
[2026-02-09 17:15:42,591][ERROR]: Failed to parse /home/deck/.local/share/Steam/steamapps/appmanifest_35700.acf: 'str' object has no attribute 'get'
[2026-02-09 17:15:42,592][INFO]: Found 74 games in library
[2026-02-09 17:15:42,592][INFO]: Found 74 games in Steam library
[2026-02-09 17:15:42,592][INFO]: [1/74] Syncing: Vampire Survivors (1794680)
[2026-02-09 17:15:43,402][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:15:43,404][INFO]: [1/74] Completed: Vampire Survivors
[2026-02-09 17:15:44,405][INFO]: [2/74] Syncing: Castle Crashers (204360)
[2026-02-09 17:15:45,095][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:15:45,097][INFO]: [2/74] Completed: Castle Crashers
[2026-02-09 17:15:46,098][INFO]: [3/74] Syncing: No Man's Sky (275850)
[2026-02-09 17:15:46,780][ERROR]: HLTB search error: HTTP Error 404: Not Found
